transaction_date,quantity
2018-12-30,47
2018-12-31,51
2019-01-01,33
2019-01-02,44
2019-01-03,59
2019-01-04,38
2019-01-05,57
2019-01-06,43
2019-01-07,28
2019-01-08,46
2019-01-09,52
2019-01-10,45
2019-01-11,42
2019-01-12,52
2019-01-13,61
2019-01-14,45
2019-01-15,49
2019-01-16,61
2019-01-17,62
2019-01-18,59
2019-01-19,49
2019-01-20,60
2019-01-21,49
2019-01-22,57
2019-01-23,59
2019-01-24,54
2019-01-25,56
2019-01-26,48
2019-01-27,47
2019-01-28,62
2019-01-29,60
2019-01-30,61
2019-01-31,68
2019-02-01,61
2019-02-02,60
2019-02-03,57
2019-02-04,54
2019-02-05,46
2019-02-06,58
2019-02-07,58
2019-02-08,67
2019-02-09,53
2019-02-10,55
2019-02-11,33
2019-02-12,59
2019-02-13,59
2019-02-14,44
2019-02-15,48
2019-02-16,72
2019-02-17,55
2019-02-18,45
2019-02-19,63
2019-02-20,47
2019-02-21,53
2019-02-22,53
2019-02-23,61
2019-02-24,60
2019-02-25,56
2019-02-26,47
2019-02-27,67
2019-02-28,63
2019-03-01,50
2019-03-02,44
2019-03-03,61
2019-03-04,61
2019-03-05,43
2019-03-06,34
2019-03-07,74
2019-03-08,41
2019-03-09,63
2019-03-10,60
2019-03-11,50
2019-03-12,46
2019-03-13,26
2019-03-14,65
2019-03-15,49
2019-03-16,46
2019-03-17,59
2019-03-18,57
2019-03-19,74
2019-03-20,42
2019-03-21,72
2019-03-22,66
2019-03-23,52
2019-03-24,49
2019-03-25,73
2019-03-26,69
2019-03-27,57
2019-03-28,62
2019-03-29,70
2019-03-30,55
2019-03-31,114
2019-04-01,58
2019-04-02,62
2019-04-03,58
2019-04-04,59
2019-04-05,84
2019-04-06,76
2019-04-07,63
2019-04-08,44
2019-04-09,67
2019-04-10,58
2019-04-11,54
2019-04-12,77
2019-04-13,63
2019-04-14,77
2019-04-15,65
2019-04-16,65
2019-04-17,52
2019-04-18,60
2019-04-19,53
2019-04-20,51
2019-04-21,45
2019-04-22,64
2019-04-23,67
2019-04-24,47
2019-04-25,75
2019-04-26,72
2019-04-27,67
2019-04-28,59
2019-04-29,69
2019-04-30,61
2019-05-01,65
2019-05-02,72
2019-05-03,72
2019-05-04,49
2019-05-05,65
2019-05-06,64
2019-05-07,78
2019-05-08,23
2019-05-09,65
2019-05-10,75
2019-05-11,68
2019-05-12,50
2019-05-13,85
2019-05-14,62
2019-05-15,61
2019-05-16,74
2019-05-17,49
2019-05-18,75
2019-05-19,54
2019-05-20,52
2019-05-21,65
2019-05-22,79
2019-05-23,72
2019-05-24,83
2019-05-25,55
2019-05-26,69
2019-05-27,70
2019-05-28,92
2019-05-29,90
2019-05-30,104
2019-05-31,74
2019-06-01,72
2019-06-02,65
2019-06-03,53
2019-06-04,79
2019-06-05,74
2019-06-06,69
2019-06-07,71
2019-06-08,92
2019-06-09,79
2019-06-10,76
2019-06-11,69
2019-06-12,93
2019-06-13,88
2019-06-14,66
2019-06-15,75
2019-06-16,88
2019-06-17,82
2019-06-18,92
2019-06-19,81
2019-06-20,80
2019-06-21,93
2019-06-22,73
2019-06-23,70
2019-06-24,65
2019-06-25,72
2019-06-26,72
2019-06-27,88
