transaction_date,quantity
2018-12-30,53
2018-12-31,52
2019-01-01,40
2019-01-02,40
2019-01-03,37
2019-01-04,67
2019-01-05,59
2019-01-06,46
2019-01-07,50
2019-01-08,64
2019-01-09,64
2019-01-10,42
2019-01-11,61
2019-01-12,39
2019-01-13,58
2019-01-14,44
2019-01-15,61
2019-01-16,65
2019-01-17,41
2019-01-18,58
2019-01-19,61
2019-01-20,51
2019-01-21,51
2019-01-22,54
2019-01-23,55
2019-01-24,53
2019-01-25,51
2019-01-26,57
2019-01-27,49
2019-01-28,76
2019-01-29,52
2019-01-30,47
2019-01-31,45
2019-02-01,67
2019-02-02,51
2019-02-03,45
2019-02-04,49
2019-02-05,56
2019-02-06,45
2019-02-07,25
2019-02-08,65
2019-02-09,56
2019-02-10,59
2019-02-11,46
2019-02-12,58
2019-02-13,68
2019-02-14,52
2019-02-15,70
2019-02-16,50
2019-02-17,50
2019-02-18,66
2019-02-19,69
2019-02-20,59
2019-02-21,64
2019-02-22,72
2019-02-23,54
2019-02-24,44
2019-02-25,65
2019-02-26,58
2019-02-27,62
2019-02-28,65
2019-03-01,73
2019-03-02,52
2019-03-03,50
2019-03-04,57
2019-03-05,69
2019-03-06,69
2019-03-07,36
2019-03-08,65
2019-03-09,64
2019-03-10,52
2019-03-11,49
2019-03-12,63
2019-03-13,67
2019-03-14,61
2019-03-15,60
2019-03-16,57
2019-03-17,53
2019-03-18,53
2019-03-19,62
2019-03-20,40
2019-03-21,44
2019-03-22,81
2019-03-23,56
2019-03-24,68
2019-03-25,40
2019-03-26,68
2019-03-27,83
2019-03-28,65
2019-03-29,66
2019-03-30,67
2019-03-31,60
2019-04-01,75
2019-04-02,78
2019-04-03,56
2019-04-04,54
2019-04-05,74
2019-04-06,49
2019-04-07,66
2019-04-08,60
2019-04-09,71
2019-04-10,62
2019-04-11,88
2019-04-12,60
2019-04-13,54
2019-04-14,85
2019-04-15,67
2019-04-16,87
2019-04-17,59
2019-04-18,59
2019-04-19,69
2019-04-20,63
2019-04-21,66
2019-04-22,64
2019-04-23,86
2019-04-24,69
2019-04-25,48
2019-04-26,67
2019-04-27,76
2019-04-28,87
2019-04-29,71
2019-04-30,58
2019-05-01,71
2019-05-02,60
2019-05-03,64
2019-05-04,65
2019-05-05,43
2019-05-06,45
2019-05-07,69
2019-05-08,68
2019-05-09,52
2019-05-10,72
2019-05-11,75
2019-05-12,79
2019-05-13,72
2019-05-14,71
2019-05-15,60
2019-05-16,41
2019-05-17,96
2019-05-18,61
2019-05-19,55
2019-05-20,61
2019-05-21,71
2019-05-22,67
2019-05-23,79
2019-05-24,73
2019-05-25,59
2019-05-26,87
2019-05-27,72
2019-05-28,67
2019-05-29,76
2019-05-30,77
2019-05-31,69
2019-06-01,60
2019-06-02,68
2019-06-03,67
2019-06-04,93
2019-06-05,85
2019-06-06,61
2019-06-07,74
2019-06-08,52
2019-06-09,85
2019-06-10,76
2019-06-11,79
2019-06-12,57
2019-06-13,77
2019-06-14,72
2019-06-15,60
2019-06-16,86
2019-06-17,71
2019-06-18,70
2019-06-19,66
2019-06-20,69
2019-06-21,98
2019-06-22,68
2019-06-23,65
2019-06-24,93
2019-06-25,64
2019-06-26,67
2019-06-27,80
