transaction_date,quantity
2018-12-30,52
2018-12-31,41
2019-01-01,54
2019-01-02,72
2019-01-03,73
2019-01-04,33
2019-01-05,43
2019-01-06,61
2019-01-07,41
2019-01-08,39
2019-01-09,43
2019-01-10,62
2019-01-11,34
2019-01-12,44
2019-01-13,53
2019-01-14,49
2019-01-15,61
2019-01-16,75
2019-01-17,67
2019-01-18,47
2019-01-19,43
2019-01-20,38
2019-01-21,35
2019-01-22,34
2019-01-23,63
2019-01-24,49
2019-01-25,57
2019-01-26,38
2019-01-27,60
2019-01-28,49
2019-01-29,52
2019-01-30,69
2019-01-31,51
2019-02-01,56
2019-02-02,36
2019-02-03,45
2019-02-04,48
2019-02-05,43
2019-02-06,75
2019-02-07,59
2019-02-08,51
2019-02-09,48
2019-02-10,54
2019-02-11,50
2019-02-12,73
2019-02-13,61
2019-02-14,88
2019-02-15,50
2019-02-16,53
2019-02-17,51
2019-02-18,59
2019-02-19,50
2019-02-20,57
2019-02-21,54
2019-02-22,47
2019-02-23,43
2019-02-24,49
2019-02-25,60
2019-02-26,48
2019-02-27,56
2019-02-28,57
2019-03-01,54
2019-03-02,48
2019-03-03,68
2019-03-04,63
2019-03-05,58
2019-03-06,58
2019-03-07,64
2019-03-08,53
2019-03-09,56
2019-03-10,50
2019-03-11,66
2019-03-12,47
2019-03-13,53
2019-03-14,92
2019-03-15,53
2019-03-16,37
2019-03-17,61
2019-03-18,55
2019-03-19,61
2019-03-20,71
2019-03-21,68
2019-03-22,40
2019-03-23,53
2019-03-24,59
2019-03-25,49
2019-03-26,53
2019-03-27,68
2019-03-28,60
2019-03-29,53
2019-03-30,46
2019-03-31,65
2019-04-01,58
2019-04-02,65
2019-04-03,58
2019-04-04,74
2019-04-05,73
2019-04-06,62
2019-04-07,49
2019-04-08,43
2019-04-09,58
2019-04-10,68
2019-04-11,73
2019-04-12,57
2019-04-13,66
2019-04-14,57
2019-04-15,50
2019-04-16,59
2019-04-17,85
2019-04-18,69
2019-04-19,65
2019-04-20,54
2019-04-21,70
2019-04-22,65
2019-04-23,71
2019-04-24,72
2019-04-25,85
2019-04-26,57
2019-04-27,63
2019-04-28,74
2019-04-29,60
2019-04-30,57
2019-05-01,86
2019-05-02,86
2019-05-03,69
2019-05-04,65
2019-05-05,44
2019-05-06,55
2019-05-07,65
2019-05-08,59
2019-05-09,110
2019-05-10,72
2019-05-11,73
2019-05-12,57
2019-05-13,76
2019-05-14,82
2019-05-15,77
2019-05-16,90
2019-05-17,64
2019-05-18,57
2019-05-19,70
2019-05-20,62
2019-05-21,71
2019-05-22,85
2019-05-23,97
2019-05-24,62
2019-05-25,31
2019-05-26,65
2019-05-27,76
2019-05-28,86
2019-05-29,78
2019-05-30,68
2019-05-31,65
2019-06-01,67
2019-06-02,55
2019-06-03,14
2019-06-04,68
2019-06-05,65
2019-06-06,89
2019-06-07,73
2019-06-08,33
2019-06-09,96
2019-06-10,83
2019-06-11,75
2019-06-12,91
2019-06-13,117
2019-06-14,50
2019-06-15,62
2019-06-16,68
2019-06-17,73
2019-06-18,65
2019-06-19,89
2019-06-20,102
2019-06-21,61
2019-06-22,65
2019-06-23,58
2019-06-24,59
2019-06-25,69
2019-06-26,109
2019-06-27,91
