transaction_date,quantity
2018-12-30,37
2018-12-31,55
2019-01-01,53
2019-01-02,26
2019-01-03,48
2019-01-04,37
2019-01-05,56
2019-01-06,65
2019-01-07,52
2019-01-08,62
2019-01-09,67
2019-01-10,39
2019-01-11,45
2019-01-12,57
2019-01-13,43
2019-01-14,56
2019-01-15,41
2019-01-16,55
2019-01-17,38
2019-01-18,52
2019-01-19,65
2019-01-20,62
2019-01-21,58
2019-01-22,48
2019-01-23,54
2019-01-24,57
2019-01-25,54
2019-01-26,64
2019-01-27,58
2019-01-28,47
2019-01-29,64
2019-01-30,62
2019-01-31,58
2019-02-01,54
2019-02-02,62
2019-02-03,65
2019-02-04,52
2019-02-05,50
2019-02-06,59
2019-02-07,46
2019-02-08,56
2019-02-09,63
2019-02-10,56
2019-02-11,38
2019-02-12,46
2019-02-13,59
2019-02-14,53
2019-02-15,39
2019-02-16,41
2019-02-17,59
2019-02-18,67
2019-02-19,57
2019-02-20,52
2019-02-21,48
2019-02-22,57
2019-02-23,66
2019-02-24,54
2019-02-25,23
2019-02-26,68
2019-02-27,51
2019-02-28,58
2019-03-01,51
2019-03-02,55
2019-03-03,38
2019-03-04,49
2019-03-05,58
2019-03-06,59
2019-03-07,51
2019-03-08,64
2019-03-09,84
2019-03-10,60
2019-03-11,67
2019-03-12,61
2019-03-13,22
2019-03-14,58
2019-03-15,55
2019-03-16,66
2019-03-17,54
2019-03-18,67
2019-03-19,59
2019-03-20,55
2019-03-21,76
2019-03-22,69
2019-03-23,61
2019-03-24,76
2019-03-25,53
2019-03-26,61
2019-03-27,57
2019-03-28,66
2019-03-29,47
2019-03-30,59
2019-03-31,52
2019-04-01,71
2019-04-02,62
2019-04-03,74
2019-04-04,62
2019-04-05,43
2019-04-06,64
2019-04-07,68
2019-04-08,67
2019-04-09,70
2019-04-10,40
2019-04-11,69
2019-04-12,56
2019-04-13,65
2019-04-14,60
2019-04-15,90
2019-04-16,68
2019-04-17,65
2019-04-18,62
2019-04-19,62
2019-04-20,67
2019-04-21,62
2019-04-22,64
2019-04-23,51
2019-04-24,66
2019-04-25,63
2019-04-26,59
2019-04-27,66
2019-04-28,65
2019-04-29,81
2019-04-30,86
2019-05-01,59
2019-05-02,52
2019-05-03,67
2019-05-04,61
2019-05-05,71
2019-05-06,68
2019-05-07,67
2019-05-08,69
2019-05-09,57
2019-05-10,52
2019-05-11,68
2019-05-12,68
2019-05-13,53
2019-05-14,66
2019-05-15,93
2019-05-16,66
2019-05-17,65
2019-05-18,52
2019-05-19,78
2019-05-20,92
2019-05-21,60
2019-05-22,57
2019-05-23,64
2019-05-24,48
2019-05-25,75
2019-05-26,65
2019-05-27,83
2019-05-28,63
2019-05-29,82
2019-05-30,88
2019-05-31,66
2019-06-01,75
2019-06-02,56
2019-06-03,58
2019-06-04,62
2019-06-05,77
2019-06-06,60
2019-06-07,65
2019-06-08,61
2019-06-09,75
2019-06-10,86
2019-06-11,69
2019-06-12,67
2019-06-13,65
2019-06-14,64
2019-06-15,78
2019-06-16,78
2019-06-17,75
2019-06-18,81
2019-06-19,81
2019-06-20,81
2019-06-21,70
2019-06-22,79
2019-06-23,60
2019-06-24,33
2019-06-25,84
2019-06-26,73
2019-06-27,64
